Timestamp,Date,Time,Start or End,Office or Home,Why corrected?,amended time,Final Corrected Time,amended day,Final Corrected Day
22/11/2019 08:01:27,22/11/2019,08:01:27,End / Leave,Working in Office,Wrong day,18:20:00,18:20:00,21/11/2019,21/11/2019
22/11/2019 08:01:14,22/11/2019,08:01:14,Start / Enter,Working in Office,Manually entered later,09:25:00,09:25:00,,22/11/2019
22/11/2019 08:01:14,22/11/2019,08:01:14,Start / Enter,Working in Office,Missing entry - assumed time,18:15:00,18:15:00,,22/11/2019
22/11/2019 08:01:41,22/11/2019,08:01:41,Start / Enter,Learning (self-directed),Manually entered later,21:30:00,21:30:00,,22/11/2019
22/11/2019 08:01:50,22/11/2019,08:01:50,End / Leave,Learning (self-directed),Manually entered later,23:25:00,23:25:00,,22/11/2019
25/11/2019 07:55:14,25/11/2019,07:55:14,Start / Enter,Working in Office,,,07:55:14,,25/11/2019
25/11/2019 15:01:05,25/11/2019,15:01:05,End / Leave,Working in Office,??? likely wrong day,14:30:00,14:30:00,25/11/2019,25/11/2019
25/11/2019 07:57:26,25/11/2019,07:57:26,Start / Enter,Working from Home or remote location,Manually entered later,21:00:00,21:00:00,,25/11/2019
25/11/2019 07:58:05,25/11/2019,07:58:05,End / Leave,Working from Home or remote location,Manually entered later,23:00:00,23:00:00,,25/11/2019
26/11/2019 00:33:03,26/11/2019,00:33:03,Start / Enter,Working from Home or remote location,Manually entered later,21:30:00,21:30:00,,26/11/2019
26/11/2019 00:33:12,26/11/2019,00:33:12,End / Leave,Working from Home or remote location,Manually entered later,22:45:00,22:45:00,,26/11/2019
26/11/2019 21:54:20,26/11/2019,21:54:20,Start / Enter,Working from Home or remote location,,,21:54:20,27/11/2019,27/11/2019
27/11/2019 00:30:24,27/11/2019,00:30:24,End / Leave,Working from Home or remote location,Manually entered later,23:40:00,23:40:00,,27/11/2019
27/11/2019 09:26:08,27/11/2019,09:26:08,Start / Enter,Working in Office,,,09:26:08,,27/11/2019
27/11/2019 09:26:08,27/11/2019,09:26:08,End / Leave,Working in Office,Missing entry - assumed time,18:15,18:15,,27/11/2019
28/11/2019 06:13:09,28/11/2019,06:13:09,Start / Enter,Working from Home or remote location,Likely wrong day,21:00:00,21:00:00,28/11/2019,28/11/2019
28/11/2019 06:13:22,28/11/2019,06:13:22,End / Leave,Working from Home or remote location,Likely wrong day,23:10:00,23:10:00,28/11/2019,28/11/2019
28/11/2019 06:13:34,28/11/2019,06:13:34,Start / Enter,Working in Office,Missing entry - assumed time,09:30:00,09:30:00,,28/11/2019
28/11/2019 06:13:34,28/11/2019,06:13:34,End / Leave,Working in Office,,16:30:00,16:30:00,,28/11/2019
02/12/2019 09:27:28,02/12/2019,09:27:28,Start / Enter,Working in Office,Manually entered later,08:15:00,08:15:00,,02/12/2019
02/12/2019 22:44:13,02/12/2019,22:44:13,End / Leave,Working in Office,Manually entered later,14:40:00,14:40:00,,02/12/2019
04/12/2019 00:37:05,04/12/2019,00:37:05,Start / Enter,Working in Office,Manually entered later,09:25:00,09:25:00,,04/12/2019
04/12/2019 00:37:16,04/12/2019,00:37:16,End / Leave,Working in Office,Manually entered later,18:25:00,18:25:00,,04/12/2019
04/12/2019 00:37:27,04/12/2019,00:37:27,Start / Enter,Working from Home or remote location,Manually entered later,22:00:00,22:00:00,,04/12/2019
04/12/2019 00:37:37,04/12/2019,00:37:37,End / Leave,Working from Home or remote location,Manually entered later,22:30:00,22:30:00,,04/12/2019
04/12/2019 09:35:57,04/12/2019,09:35:57,Start / Enter,Working in Office,Manually entered later,09:31:00,09:31:00,,04/12/2019
04/12/2019 09:35:57,04/12/2019,09:35:57,End / Leave,Working in Office,Missing entry - assumed time,18:15:00,18:15:00,,04/12/2019
05/12/2019 16:35:48,05/12/2019,16:35:48,Start / Enter,Working from Home or remote location,Manually entered later,08:25:00,08:25:00,,05/12/2019
05/12/2019 16:36:03,05/12/2019,16:36:03,End / Leave,Working from Home or remote location,Manually entered later,09:50:00,09:50:00,,05/12/2019
05/12/2019 16:36:19,05/12/2019,16:36:19,Start / Enter,Working in Office,Manually entered later,10:30:00,10:30:00,,05/12/2019
05/12/2019 16:36:19,05/12/2019,16:36:19,End / Leave,Working in Office,Missing entry - assumed time,18:15:00,18:15:00,,05/12/2019
06/12/2019 07:35:42,06/12/2019,07:35:42,Start / Enter,Working from Home or remote location,Manually entered later,07:24:00,07:24:00,,06/12/2019
06/12/2019 07:35:42,06/12/2019,07:35:42,End / Leave,Working from Home or remote location,Missing entry - assumed time,14:45:00,14:45:00,,06/12/2019
08/12/2019 21:11:18,08/12/2019,21:11:18,Start / Enter,Working from Home or remote location,Manually entered later,20:55:00,20:55:00,,08/12/2019
08/12/2019 21:11:18,08/12/2019,21:11:18,End / Leave,Working from Home or remote location,Missing entry - assumed time,22:35:00,22:35:00,,08/12/2019
09/12/2019 08:04:27,09/12/2019,08:04:27,Start / Enter,Working in Office,,,08:04:27,,09/12/2019
09/12/2019 17:35:23,09/12/2019,17:35:23,End / Leave,Working in Office,Manually entered later,16:05:00,16:05:00,,09/12/2019
11/12/2019 09:21:38,11/12/2019,09:21:38,Start / Enter,Working in Office,,,09:21:38,,11/12/2019
11/12/2019 09:21:38,11/12/2019,09:21:38,End / Leave,Working in Office,Missing entry - assumed time,18:15,18:15,,11/12/2019
13/12/2019 23:21:13,13/12/2019,23:21:13,Start / Enter,Working from Home or remote location,Manually entered later,07:15:00,07:15:00,,13/12/2019
13/12/2019 23:21:24,13/12/2019,23:21:24,End / Leave,Working from Home or remote location,Manually entered later,14:40:00,14:40:00,,13/12/2019
16/12/2019 08:05:57,16/12/2019,08:05:57,Start / Enter,Working in Office,,,08:05:57,,16/12/2019
16/12/2019 15:03:47,16/12/2019,15:03:47,End / Leave,Working in Office,Manually entered later,14:40:00,14:40:00,,16/12/2019
17/12/2019 23:55:15,17/12/2019,23:55:15,Start / Enter,Working in Office,Missing entry - assumed time,09:30:00,09:30:00,,17/12/2019
17/12/2019 23:55:15,17/12/2019,23:55:15,End / Leave,Working in Office,Manually entered later,17:25:00,17:25:00,,17/12/2019
18/12/2019 09:22:16,18/12/2019,09:22:16,Start / Enter,Working in Office,,,09:22:16,,18/12/2019
18/12/2019 17:23:31,18/12/2019,17:23:31,End / Leave,Working in Office,Manually entered later,12:05:00,12:05:00,,18/12/2019
18/12/2019 17:23:54,18/12/2019,17:23:54,Start / Enter,Working from Home or remote location,Manually entered later,14:00:00,14:00:00,,18/12/2019
18/12/2019 17:24:16,18/12/2019,17:24:16,End / Leave,Working from Home or remote location,Manually entered later,14:55:00,14:55:00,,18/12/2019
19/12/2019 09:24:12,19/12/2019,09:24:12,Start / Enter,Working in Office,,,09:24:12,,19/12/2019
19/12/2019 17:44:46,19/12/2019,17:44:46,End / Leave,Working in Office,,,17:44:46,,19/12/2019
23/12/2019 08:18:25,23/12/2019,08:18:25,Start / Enter,Working in Office,,,08:18:25,,23/12/2019
23/12/2019 08:18:25,23/12/2019,08:18:25,End / Leave,Working in Office,Missing entry - assumed time,15:30,15:30,,23/12/2019
27/12/2019 07:57:03,27/12/2019,07:57:03,Start / Enter,Working from Home or remote location,,,07:57:03,,27/12/2019
27/12/2019 16:16:13,27/12/2019,16:16:13,End / Leave,Working from Home or remote location,,,16:16:13,,27/12/2019
07/01/2020 12:20:37,07/01/2020,12:20:37,Start / Enter,Working in Office,Manually entered later,08:20:00,08:20:00,,07/01/2020
07/01/2020 12:20:37,07/01/2020,12:20:37,End / Leave,Working in Office,Missing entry - assumed time,17:30:00,17:30:00,,07/01/2020
09/01/2020 09:20:29,09/01/2020,09:20:29,Start / Enter,Working in Office,,,09:20:29,,09/01/2020
09/01/2020 18:41:45,09/01/2020,18:41:45,End / Leave,Working in Office,Manually entered later,18:15:00,18:15:00,,09/01/2020
09/01/2020 22:03:39,09/01/2020,22:03:39,Start / Enter,Learning (self-directed),,,22:03:39,,09/01/2020
09/01/2020 22:03:39,09/01/2020,22:03:39,End / Leave,Learning (self-directed),Manually entered later,23:45:00,23:45:00,,09/01/2020
10/01/2020 07:38:27,10/01/2020,07:38:27,Start / Enter,Working from Home or remote location,,,07:38:27,,10/01/2020
10/01/2020 16:31:34,10/01/2020,16:31:34,End / Leave,Working in Office,Manually entered later,14:45:00,14:45:00,,10/01/2020
